;full_name;Tm;GS;minutes;cluster_c;cluster_def;age;FGA_moy;TOV_moy;PF_moy;Prod_mean_opp;Opp;POS;code
4263;John Collins;atl;1.0;26.0;2.0;0.0;24.0;9.666666666666666;1.6666666666666667;1.3333333333333333;0.5347184734116613;phi;PF;PFatl1.0
4264;John Collins;atl;1.0;14.0;2.0;0.0;24.0;6.0;0.0;1.0;0.5347184734116613;pho;PF;PFatl1.0
4265;John Collins;atl;1.0;24.0;2.0;0.0;24.0;9.0;1.5;4.0;0.5347184734116613;por;PF;PFatl1.0
4266;John Collins;atl;1.0;27.0;2.0;0.0;24.0;9.0;1.0;4.0;0.5347184734116613;sac;PF;PFatl1.0
4267;John Collins;atl;1.0;34.0;2.0;0.0;24.0;11.0;4.0;3.0;0.5347184734116613;tor;PF;PFatl1.0
4268;John Collins;atl;1.0;28.0;2.0;0.0;24.0;13.5;1.5;2.5;0.5347184734116613;utah;PF;PFatl1.0
4269;John Collins;atl;1.0;32.0;2.0;0.0;24.0;12.0;1.6666666666666667;3.6666666666666665;0.5347184734116613;wsh;PF;PFatl1.0
4270;John Konchar;mem;0.0;16.0;1.0;1.0;25.5;3.0;1.5;1.0;0.3570266280722554;atl;SG;SGmem0.0
4271;John Konchar;mem;0.0;15.0;1.0;1.0;25.0;3.0;0.0;0.0;0.3570266280722554;bkn;SG;SGmem0.0
4272;John Konchar;mem;0.0;12.5;1.0;1.0;26.0;3.0;0.5;0.5;0.3570266280722554;chi;SG;SGmem0.0
4273;John Konchar;mem;0.0;12.0;1.0;1.0;25.0;3.0;0.0;2.0;0.3570266280722554;cha;SG;SGmem0.0
4274;John Konchar;mem;0.0;18.0;1.0;1.0;26.0;6.0;0.5;1.0;0.3570266280722554;dal;SG;SGmem0.0
4275;John Konchar;mem;0.0;10.5;1.0;1.0;26.0;4.5;0.5;1.5;0.3570266280722554;den;SG;SGmem0.0
4276;John Konchar;mem;0.0;19.0;1.0;1.0;26.0;6.0;0.0;0.0;0.3570266280722554;det;SG;SGmem0.0
4277;John Konchar;mem;0.0;5.0;1.0;1.0;25.0;1.0;0.0;0.0;0.3570266280722554;gs;SG;SGmem0.0
4278;John Konchar;mem;0.0;14.5;1.0;1.0;25.0;3.5;0.0;1.5;0.3570266280722554;hou;SG;SGmem0.0
4279;John Konchar;mem;0.0;13.0;1.0;1.0;26.0;4.0;0.0;0.0;0.3570266280722554;ind;SG;SGmem0.0
4280;John Konchar;mem;0.0;3.0;1.0;1.0;25.0;1.0;0.0;0.0;0.3570266280722554;lac;SG;SGmem0.0
4281;John Konchar;mem;0.0;16.5;1.0;1.0;25.0;2.5;1.5;2.0;0.3570266280722554;lal;SG;SGmem0.0
4282;John Konchar;mem;0.0;20.0;1.0;1.0;26.0;4.0;1.0;2.0;0.3570266280722554;mia;SG;SGmem0.0
4283;John Konchar;mem;0.0;12.0;1.0;1.0;26.0;2.0;2.0;0.0;0.3570266280722554;mil;SG;SGmem0.0
4284;John Konchar;mem;0.0;3.0;1.0;1.0;26.0;0.0;1.0;0.0;0.3570266280722554;min;SG;SGmem0.0
4285;John Konchar;mem;0.0;18.5;1.0;1.0;25.5;4.5;0.5;1.0;0.3570266280722554;no;SG;SGmem0.0
4286;John Konchar;mem;0.0;10.0;1.0;1.0;26.0;3.0;0.0;0.0;0.3570266280722554;ny;SG;SGmem0.0
4287;John Konchar;mem;0.0;5.0;1.0;1.0;25.0;2.0;1.0;1.0;0.3570266280722554;okc;SG;SGmem0.0
4288;John Konchar;mem;0.0;7.0;1.0;1.0;26.0;2.0;0.0;0.0;0.3570266280722554;orl;SG;SGmem0.0
4289;John Konchar;mem;0.0;4.0;1.0;1.0;26.0;0.0;1.0;1.0;0.3570266280722554;phi;SG;SGmem0.0
4290;John Konchar;mem;0.0;13.333333333333336;1.0;1.0;25.0;3.333333333333333;0.0;1.3333333333333333;0.3570266280722554;pho;SG;SGmem0.0
4291;John Konchar;mem;0.0;5.0;1.0;1.0;26.0;0.0;0.0;0.0;0.3570266280722554;por;SG;SGmem0.0
4292;John Konchar;mem;0.0;14.666666666666664;1.0;1.0;25.66666666666667;4.333333333333333;0.0;1.0;0.3570266280722554;sac;SG;SGmem0.0
4293;John Konchar;mem;0.0;17.0;1.0;1.0;25.0;2.5;0.5;1.0;0.3570266280722554;sa;SG;SGmem0.0
4294;John Konchar;mem;0.0;6.5;1.0;1.0;25.5;0.5;0.5;1.0;0.3570266280722554;tor;SG;SGmem0.0
4295;John Konchar;mem;0.0;6.0;1.0;1.0;26.0;3.0;0.0;0.0;0.3570266280722554;utah;SG;SGmem0.0
4296;John Wall;hou;0.0;41.0;0.0;2.0;31.0;30.0;3.0;1.0;0.3604865571772081;bkn;PG;PGhou0.0
