;Opp_name;annee;cluster_player
24873;Nemanja Bjelica;2021;4.0
24880;Juwan Morgan;2021;2.0
24881;Dwight Powell;2021;4.0
24882;Onyeka Okongwu;2021;4.0
24883;Chris Silva;2021;2.0
24889;Zeke Nnaji;2021;2.0
24896;Raulzinho Neto;2021;4.0
24897;Ish Smith;2021;3.0
24898;Theo Maledon;2021;0.0
24899;Tyrese Maxey;2021;3.0
24903;John Wall;2021;1.0
24906;Marcus Smart;2021;0.0
24911;Devonte' Graham;2021;0.0
24913;De'Aaron Fox;2021;1.0
24915;Kyle Lowry;2021;1.0
24917;Coby White;2021;0.0
24923;Isaiah Roby;2021;3.0
24929;Luka Doncic;2021;1.0
24930;Khris Middleton;2021;1.0
24931;Grant Williams;2021;4.0
24932;Kevin Durant;2021;1.0
24934;Anthony Edwards;2021;0.0
24939;Mfiondu Kabengele;2021;4.0
24945;Kelly Oubre,;2021;1.0
24947;Miles Bridges;2021;1.0
24950;Svi Mykhailiuk;2021;4.0
24955;Kevin Huerter;2021;1.0
24957;Trey Lyles;2021;4.0
24959;Kevin Knox;2021;4.0
24961;Semi Ojeleye;2021;4.0
24963;Dario Saric;2021;3.0
24968;Tyler Herro;2021;3.0
24969;Isaac Bonga;2021;3.0
24973;Malik Beasley;2021;1.0
24974;Malcolm Brogdon;2021;1.0
24980;Norman Powell;2021;0.0
24981;Zach LaVine;2021;1.0
24982;Reggie Bullock;2021;0.0
24984;Wayne Ellington;2021;0.0
24986;Joe Harris;2021;0.0
24987;Donovan Mitchell;2021;0.0
24989;Alec Burks;2021;4.0
24992;Jamal Murray;2021;1.0
24993;Mikal Bridges;2021;1.0
24994;Josh Hart;2021;4.0
24996;Ben McLemore;2021;4.0
24997;Troy Brown,;2021;4.0
24998;Matisse Thybulle;2021;2.0
25000;Lamar Stevens;2021;2.0
25004;Thanasis Antetokounmpo;2021;4.0
25016;Lauri Markkanen;2021;0.0
25024;Miye Oni;2021;2.0
25026;Solomon Hill;2021;4.0
25027;Precious Achiuwa;2021;4.0
25028;Rudy Gay;2021;4.0
25041;Gordon Hayward;2021;1.0
25044;Paul George;2021;1.0
25058;Torrey Craig;2021;2.0
25063;Terrance Ferguson;2021;2.0
25065;Damyean Dotson;2021;4.0
25070;Bruce Brown,;2021;4.0
25071;Austin Rivers;2021;3.0
25073;Justin James;2021;4.0
25074;Terance Mann;2021;4.0
25082;Tremont Waters;2021;4.0
25083;Payton Pritchard;2021;4.0
25092;Dean Wade;2021;4.0
25096;Bobby Portis;2021;4.0
25100;Ed Davis;2021;2.0
25104;Chimezie Metu;2021;2.0
25122;Luka Samanic;2021;2.0
25136;Shai Gilgeous-Alexander;2021;1.0
25139;Dante Exum;2021;0.0
25140;Collin Sexton;2021;1.0
25148;Tyrese Haliburton;2021;3.0
25149;Chris Paul;2021;1.0
25157;Trae Young;2021;1.0
25165;Dennis Schroder;2021;0.0
25167;Marques Bolden;2021;2.0
25169;DeMarcus Cousins;2021;4.0
25171;Hassan Whiteside;2021;4.0
25172;Ivica Zubac;2021;4.0
25175;Cristiano Felicio;2021;3.0
25181;Nicolas Claxton;2021;2.0
25183;Bruno Fernando;2021;4.0
25185;Drew Eubanks;2021;3.0
25196;Darius Bazley;2021;0.0
25197;Ben Simmons;2021;0.0
25201;Christian Wood;2021;0.0
25206;Julius Randle;2021;0.0
25207;Jarred Vanderbilt;2021;3.0
25208;Domantas Sabonis;2021;0.0
25209;Bismack Biyombo;2021;0.0
25211;Marvin Bagley;2021;1.0
25223;Mason Plumlee;2021;1.0
25228;John Collins;2021;3.0
25235;Michael Porter,;2021;0.0
25241;Talen Horton-Tucker;2021;4.0
25242;Amir Coffey;2021;4.0
25245;Justin Holiday;2021;0.0
25250;Dorian Finney-Smith;2021;0.0
25255;Nate Hinton;2021;4.0
25294;DaQuan Jeffries;2021;3.0
25332;Zion Williamson;2021;1.0
25345;Tony Bradley;2021;4.0
25347;Jarrett Allen;2021;0.0
25348;James Wiseman;2021;3.0
25349;Moses Brown;2021;3.0
25353;JaVale McGee;2021;2.0
25358;Goga Bitadze;2021;4.0
25359;Nick Richards;2021;2.0
25360;Aron Baynes;2021;3.0
25366;Jevon Carter;2021;4.0
25370;Immanuel Quickley;2021;4.0
25371;Landry Shamet;2021;4.0
25378;Avery Bradley;2021;2.0
25379;Tre Jones;2021;4.0
25381;Quinn Cook;2021;4.0
25388;Skylar Mays;2021;3.0
25391;Ty Jerome;2021;3.0
25392;Tyus Jones;2021;4.0
25393;Jalen Brunson;2021;4.0
25394;Aaron Holiday;2021;3.0
25397;Kira Lewis,;2021;2.0
25399;Malachi Flynn;2021;3.0
25406;James Harden;2021;1.0
25412;Isaiah Joe;2021;1.0
25419;KZ Okpala;2021;3.0
25420;Lonnie Walker;2021;1.0
25422;Garrison Mathews;2021;1.0
25425;Tyler Bey;2021;2.0
25436;Kevon Looney;2021;4.0
25453;Xavier Tillman,;2021;4.0
25455;Vernon Carey,;2021;4.0
25456;Nicolo Melli;2021;4.0
25478;Kentavious Caldwell-Pope;2021;1.0
25479;Donte DiVincenzo;2021;1.0
25480;Isaac Okoro;2021;0.0
25481;Hamidou Diallo;2021;4.0
25493;Desmond Bane;2021;4.0
25498;Nickeil Alexander-Walker;2021;0.0
25499;Evan Fournier;2021;1.0
25502;Bogdan Bogdanovic;2021;3.0
25528;Moe Wagner;2021;4.0
25533;Wendell Carter,;2021;3.0
25535;Khem Birch;2021;2.0
25541;Langston Galloway;2021;4.0
25542;Ricky Rubio;2021;1.0
25547;Caris LeVert;2021;0.0
25549;Jordan Clarkson;2021;4.0
25551;Cameron Payne;2021;4.0
25553;Trey Burke;2021;3.0
25554;Max Strus;2021;4.0
25556;Shaquille Harrison;2021;4.0
25562;Alex Caruso;2021;4.0
25564;Russell Westbrook;2021;1.0
25565;Darius Garland;2021;0.0
25567;Edmond Sumner;2021;3.0
25569;Ryan Arcidiacono;2021;4.0
25603;Kyle Anderson;2021;3.0
25609;Nikola Vucevic;2021;0.0
25616;Reggie Jackson;2021;0.0
25617;Brodric Thomas;2021;4.0
25618;Buddy Hield;2021;1.0
25643;Tony Snell;2021;0.0
25644;Damian Lillard;2021;1.0
25647;Patrick Williams;2021;1.0
25650;Ja Morant;2021;1.0
25652;Serge Ibaka;2021;0.0
25655;Deandre Ayton;2021;1.0
25658;Willie Cauley-Stein;2021;4.0
25659;Dwight Howard;2021;4.0
25660;Mitchell Robinson;2021;3.0
25663;Rudy Gobert;2021;1.0
25668;Kelly Olynyk;2021;4.0
25671;Marc Gasol;2021;0.0
25673;Brook Lopez;2021;0.0
25687;Jonas Valanciunas;2021;3.0
25692;Steven Adams;2021;0.0
25701;David Nwaba;2021;1.0
25706;Josh Richardson;2021;0.0
25708;Elfrid Payton;2021;1.0
25710;Stephen Curry;2021;0.0
25712;George Hill;2021;1.0
25721;Bryn Forbes;2021;3.0
25728;Terry Rozier;2021;1.0
25732;Fred VanVleet;2021;1.0
25753;Kristaps Porzingis;2021;0.0
25755;LaMarcus Aldridge;2021;0.0
25761;Al Horford;2021;0.0
25765;Myles Turner;2021;1.0
25774;Daniel Oturu;2021;4.0
25776;Jake Layman;2021;4.0
25785;Pat Connaughton;2021;4.0
25818;DeMar DeRozan;2021;1.0
25877;Tomas Satoransky;2021;0.0
25882;Lonzo Ball;2021;0.0
25897;Jaylen Adams;2021;4.0
25913;Facundo Campazzo;2021;4.0
25922;Patty Mills;2021;0.0
25926;Jrue Holiday;2021;0.0
25927;Delon Wright;2021;1.0
25930;Goran Dragic;2021;0.0
25934;LaMelo Ball;2021;0.0
25943;Monte Morris;2021;4.0
25952;Javonte Green;2021;4.0
25954;Sam Merrill;2021;4.0
25982;Blake Griffin;2021;1.0
26004;Obi Toppin;2021;3.0
26005;Denzel Valentine;2021;3.0
26011;Jae'sean Tate;2021;0.0
26018;Aaron Gordon;2021;0.0
26027;Georges Niang;2021;3.0
26028;Timothe Luwawu-Cabarrot;2021;4.0
26029;Jerami Grant;2021;1.0
26032;Draymond Green;2021;0.0
26038;LeBron James;2021;0.0
26045;Sekou Doumbouya;2021;4.0
26048;Jaden McDaniels;2021;3.0
26060;John Konchar;2021;3.0
26062;Tyler Johnson;2021;4.0
26076;Gabe Vincent;2021;0.0
26091;Willy Hernangomez;2021;4.0
26098;Vincent Poirier;2021;4.0
26101;Bol Bol;2021;2.0
26106;Isaiah Stewart;2021;3.0
26108;Daniel Gafford;2021;4.0
26111;Chandler Hutchison;2021;4.0
26131;Brad Wanamaker;2021;4.0
26144;Otto Porter;2021;2.0
26158;Ogugua Anunoby;2021;1.0
26165;Brandon Ingram;2021;1.0
26173;Jayson Tatum;2021;1.0
26188;Trevor Ariza;2021;0.0
26228;Kendrick Nunn;2021;0.0
26230;Frank Jackson;2021;3.0
26232;Jerome Robinson;2021;3.0
26245;Jusuf Nurkic;2021;1.0
26263;Nerlens Noel;2021;0.0
26269;Paul Millsap;2021;0.0
26288;Garrett Temple;2021;1.0
26296;Derrick White;2021;1.0
26302;Kyrie Irving;2021;1.0
26310;Yuta Watanabe;2021;4.0
26314;Thaddeus Young;2021;4.0
26316;Montrezl Harrell;2021;4.0
26330;Jordan Nwora;2021;4.0
26331;Josh Hall;2021;4.0
26332;Wesley Iwundu;2021;4.0
26337;Derrick Rose;2021;2.0
26355;DeAndre Jordan;2021;3.0
26363;Thomas Bryant;2021;1.0
26368;Andre Drummond;2021;4.0
26400;Rodions Kurucs;2021;4.0
26407;Dwayne Bacon;2021;0.0
26411;Dylan Windler;2021;2.0
26425;Davis Bertans;2021;2.0
26432;Gary Clark;2021;4.0
26433;Justise Winslow;2021;4.0
26491;Cole Anthony;2021;1.0
26530;Frank Kaminsky;2021;3.0
26536;Spencer Dinwiddie;2021;1.0
26557;Michael Carter-Williams;2021;0.0
26562;Eric Bledsoe;2021;1.0
26565;Mamadi Diakite;2021;2.0
26590;Brandon Clarke;2021;3.0
26605;Karim Mane;2021;3.0
26629;Cory Joseph;2021;3.0
26647;Terrence Ross;2021;4.0
26732;James Johnson;2021;3.0
26735;Rui Hachimura;2021;1.0
26754;Nassir Little;2021;3.0
26766;Robert Woodard;2021;4.0
26782;Keljin Blevins;2021;4.0
26785;Jordan McLaughlin;2021;4.0
26805;Mike Conley;2021;0.0
26807;Patrick Beverley;2021;1.0
26822;Carsen Edwards;2021;1.0
26834;Nico Mannion;2021;2.0
26883;Nikola Jokic;2021;3.0
26902;Joel Embiid;2021;0.0
26910;Karl-Anthony Towns;2021;3.0
26936;Deni Avdija;2021;3.0
26954;Josh Okogie;2021;3.0
26992;Robert Covington;2021;0.0
26993;Cody Zeller;2021;1.0
27000;Juancho Hernangomez;2021;4.0
27065;Saben Lee;2021;4.0
27215;James Ennis;2021;1.0
27220;Darius Miller;2021;2.0
27221;Mychal Mulder;2021;4.0
27224;Paul Watson;2021;2.0
27235;DeAndre' Bembry;2021;2.0
27239;Kyle Guy;2021;4.0
27240;Sindarius Thornwell;2021;4.0
27245;Jalen Lecque;2021;2.0
27252;Trent Forrest;2021;4.0
27255;Jordan Poole;2021;4.0
27260;Jeremy Lamb;2021;3.0
27311;Mohamed Bamba;2021;4.0
27327;Boban Marjanovic;2021;4.0
27331;Daniel Theis;2021;4.0
27337;Alex Len;2021;4.0
27354;Enes Kanter;2021;2.0
27362;Aaron Nesmith;2021;4.0
27374;Jabari Parker;2021;3.0
27395;Cassius Stanley;2021;3.0
27407;Victor Oladipo;2021;1.0
27421;Seth Curry;2021;1.0
27423;Eric Gordon;2021;3.0
27432;Danilo Gallinari;2021;3.0
27459;Cam Reddish;2021;1.0
27582;Jeff Teague;2021;1.0
27630;Vlatko Cancar;2021;4.0
27659;Bradley Beal;2021;1.0
27680;Dejounte Murray;2021;1.0
27718;Jakob Poeltl;2021;4.0
27814;Devin Vassell;2021;4.0
27820;Anfernee Simons;2021;4.0
27832;Sean McDermott;2021;4.0
27853;Abdel Nader;2021;2.0
27865;Keita Bates-Diop;2021;4.0
27888;Danuel House;2021;4.0
27889;Luke Kornet;2021;2.0
27909;Carmelo Anthony;2021;2.0
27919;Dillon Brooks;2021;0.0
27927;Markelle Fultz;2021;1.0
27967;Derrick Favors;2021;4.0
28180;Shake Milton;2021;3.0
28203;Rodney McGruder;2021;4.0
28214;Jaylen Nowell;2021;4.0
28226;Jordan Bone;2021;2.0
28260;Rajon Rondo;2021;4.0
28311;Brandon Goodwin;2021;3.0
28473;Mike Muscala;2021;2.0
28488;Robin Lopez;2021;4.0
28529;Al-Farouq Aminu;2021;0.0
28586;Furkan Korkmaz;2021;1.0
28626;Devontae Cacok;2021;3.0
28664;Cody Martin;2021;4.0
28696;Jarrett Culver;2021;4.0
28704;Quinndary Weatherspoon;2021;4.0
28710;Malik Monk;2021;4.0
28797;Patrick Patterson;2021;4.0
28821;Jahlil Okafor;2021;4.0
28835;Bam Adebayo;2021;0.0
28857;Grayson Allen;2021;1.0
29004;JaMychal Green;2021;4.0
29060;Jimmy Butler;2021;0.0
29074;Jahmi'us Ramsey;2021;2.0
29077;Ashton Hagans;2021;2.0
29090;Devon Dotson;2021;2.0
29096;Killian Hayes;2021;0.0
29189;Juan Toscano-Anderson;2021;3.0
29251;Luguentz Dort;2021;1.0
29275;Alen Smailagic;2021;4.0
29342;Wenyen Gabriel;2021;2.0
29437;Naz Reid;2021;4.0
29525;Tyrell Terry;2021;2.0
29559;Naji Marshall;2021;4.0
29701;Anthony Gill;2021;4.0
29751;Deividas Sirvydis;2021;2.0
29805;Nate Darling;2021;3.0
29847;Jared Harper;2021;2.0
30208;Theo Pinson;2021;2.0
30218;De'Anthony Melton;2021;3.0
30237;Ty-Shon Alexander;2021;4.0
30582;Aleksej Pokusevski;2021;4.0
30668;Adam Mokoka;2021;2.0
30858;Will Barton;2021;0.0
31126;Jalen McDaniels;2021;3.0
31155;Nathan Knight;2021;2.0
31162;Kostas Antetokounmpo;2021;2.0
