;Opp_name;annee;PTS_diff;AST_diff;TRB_diff;FGA;TOV;PF;BLK_diff;STL_diff
418;Kelly Olynyk;2020;-1.6472006303182218;-0.5335607344101159;-1.2819178272446112;3.9714285714285715;0.6285714285714286;1.9142857142857144;-0.14852844111484279;-0.07537636606626662
419;Kelly Olynyk;2021;-0.701919953868982;-0.3722712576400408;0.3705636815139015;7.555555555555555;1.4074074074074074;2.259259259259259;-0.16474617449215842;0.07459448223089168
420;Kelly Oubre,;2020;-0.28911941727017265;0.3467075561941921;0.4200969223179136;10.571428571428571;2.142857142857143;2.5714285714285716;-0.2730844945752846;-0.2584168674286233
421;Kelly Oubre,;2021;1.6360456864023691;-0.10911836222721151;-0.8306671127699202;12.0;1.8888888888888888;1.8888888888888888;-0.029658200523140523;0.147081470166191
422;Kendrick Nunn;2020;-0.6648550611863481;-0.1521814864907014;-0.5799114116510264;11.783783783783784;2.054054054054054;2.3783783783783785;0.0007869284269762912;0.06365215313854379
423;Kendrick Nunn;2021;-0.10978471298867969;-0.13967203849924406;-0.13500047796855236;12.133333333333333;1.6666666666666667;1.8666666666666667;-0.09475261120201205;-0.045185025698493024
424;Kent Bazemore;2020;1.6400966183574879;0.5404797601199399;3.632517074795935;6.666666666666667;0.3333333333333333;3.3333333333333335;-0.14651007829418625;1.0148259203731467
425;Kentavious Caldwell-Pope;2020;-0.5018909196433573;0.08915962541566547;-0.6043154792389153;8.37037037037037;1.3148148148148149;1.537037037037037;-0.04960538127192903;-0.014390331581239242
426;Kentavious Caldwell-Pope;2021;0.48434109904029127;-0.12929948537518438;0.8449228196157372;12.542857142857143;2.2857142857142856;2.5714285714285716;-0.10275045539252485;0.06495771688391501
427;Kevin Durant;2020;;;;;;;;
428;Kevin Durant;2021;-1.4200506711838614;-0.5174360400600945;0.1381250483864996;15.333333333333334;1.6666666666666667;2.1666666666666665;0.4313865761544598;0.4666195213859912
429;Kevin Huerter;2020;0.5096665421625022;0.2742732031957712;-0.41514915011577697;9.956521739130435;1.3478260869565217;2.5652173913043477;0.23712200940610287;-0.043407068732677044
430;Kevin Huerter;2021;1.220190060760026;0.6739225120422793;-0.09414418680588121;13.9375;2.0;2.1875;0.20845497792803958;0.17058075600072542
431;Kevin Knox;2020;-1.280373359424568;0.15563955179034472;-0.7088975549104711;5.589743589743589;0.8461538461538461;1.3846153846153846;0.06699080834873455;-0.1514224609955065
432;Kevin Knox;2021;-0.05489064496589821;-0.20208545337294767;-0.6504536408597646;5.153846153846154;0.6153846153846154;1.1923076923076923;0.046257714653848696;-0.24425223127977183
433;Kevin Love;2020;-2.200887874206224;-0.11172400774242788;0.15611869048020185;8.818181818181818;1.8181818181818181;2.3636363636363638;0.6310761985712063;0.45733757843467215
434;Kevon Looney;2020;1.1767243867243866;-0.45010101010101017;-0.935108225108225;8.0;0.6;0.8;-0.12537518037518036;-0.10503607503607501
435;Kevon Looney;2021;-0.18760409474528367;-0.15147070654028405;-0.6046941656342509;6.0;1.3;1.85;0.1986250810312506;-0.0836898100342165
436;Khem Birch;2020;-0.0650970857003633;-0.24770158406661605;-0.6195429002036132;5.214285714285714;1.2142857142857142;1.8571428571428572;-0.20263491619049237;-0.2238186165733088
437;Khem Birch;2021;-1.3386897447052455;0.058226989876062486;0.02985965543266526;3.388888888888889;0.6666666666666666;1.6666666666666667;-0.014337346428296463;-0.26653655574915464
438;Khris Middleton;2020;0.8530974948723483;0.3716195573807644;1.6589691966488382;12.903225806451612;1.3870967741935485;2.7419354838709675;-0.09353471666185313;0.08219970286986165
439;Khris Middleton;2021;0.9977406014066504;-0.0815359440568143;0.49517344179344497;14.526315789473685;1.4736842105263157;2.1578947368421053;0.3481317169837028;-0.1817024471815202
440;Killian Hayes;2021;-0.14520708815512542;1.1142822813024296;0.8936890638905485;11.0;2.6;2.8;-0.010647885833463743;1.0156175753206507
441;Kira Lewis,;2021;-2.1797476416698576;-0.27973804146164394;0.7560923612635297;4.25;0.65;1.0;0.007568648176043807;-0.136063704112238
442;Klay Thompson;2020;;;;;;;;
443;Kostas Antetokounmpo;2020;-3.4281613763729246;-0.33711165715361574;-2.420266040425503;3.25;0.75;1.0;-0.5773480921706087;-0.10921160950831199
444;Kostas Antetokounmpo;2021;-0.5678371480171017;0.7874908165020393;0.40264804167280943;2.625;0.875;1.625;0.023389447884416936;0.3007664688682491
445;Kris Dunn;2020;-3.4550799439756044;0.09605058833175742;0.01840015964322516;6.0;1.6153846153846154;1.9230769230769231;-0.1314073476506517;-0.13275135974462587
446;Kristaps Porzingis;2020;0.817054105301426;-1.0679485508044237;-0.5251294000883876;12.166666666666666;1.3333333333333333;2.8333333333333335;0.06968592745613489;0.2591238887808706
447;Kristaps Porzingis;2021;-1.4061985036587243;-0.07386396752981816;-0.3015056139291146;9.333333333333334;1.1666666666666667;2.3333333333333335;0.40624287992709046;-0.029081027092042976
448;Kyle Anderson;2020;-0.425272447367722;0.4174735349978813;-0.4348653901222199;6.972222222222222;1.2777777777777777;2.5833333333333335;0.44094879981612073;0.17623948784690477
449;Kyle Anderson;2021;1.990488833307678;0.7812458904247696;2.577613969555824;9.833333333333334;2.25;3.0833333333333335;0.36243426114038124;0.017059642876990355
450;Kyle Guy;2020;3.020923520923521;0.12481962481962465;-1.194805194805195;7.0;0.3333333333333333;0.3333333333333333;-0.18434343434343434;0.4613997113997114
